date,time,team,name,card,type
2024-12-30,12:46:42,Blue,Jose,3♦,Assist
2024-12-30,12:47:07,Blue,Kenji,6♣,Assist
2024-12-30,12:52:47,Green,Jaemo,2♣,Assist
2024-12-30,12:54:04,Blue,Kenji,5♦,Assist
2024-12-30,12:56:38,Green,Behring,4♣,Assist
2024-12-19,09:24:19,Blue,Ghost,2♠,Assist
2024-12-18,09:38:02,Green,Daniel,4♠,Assist
2024-12-18,12:16:20,Green,Behring,5♥,Assist
2024-12-18,12:17:45,Blue,Brian,5♣,Assist
2024-12-18,12:18:40,Green,Kenji,A♣,Assist
2024-12-18,12:23:15,Green,Kenji,10♥,Assist
2024-12-18,12:23:53,Green,Nishant,J♦,Assist
2024-12-18,12:43:58,Green,Behring,Q♦,Assist
2024-12-18,12:51:08,Blue,Maya,4♣,Assist
2024-12-18,12:57:02,Green,Brian,8♠,Assist
2024-12-18,18:12:54,Blue,Maya,K♦,Assist
2024-12-18,18:23:34,Blue,Russel,K♥,Assist
2024-12-18,18:43:11,Green,Larah,Q♠,Assist
2024-12-18,18:44:32,Green,Andy,J♥,Assist
2024-12-18,18:57:28,Green,Brian,7♦,Assist
2024-12-18,18:57:39,Green,Larah,K♦,Assist
2024-12-18,18:59:51,Green,Kenji,7♥,Assist
2024-12-17,12:20:17,Green,Kenji,8♣,Assist
2024-12-17,12:24:32,Blue,Paul,K♠,Assist
2024-12-17,12:30:47,Blue,Daniel,5♥,Assist
2024-12-17,12:36:55,Green,Behring,K♥,Assist
2024-12-17,12:40:55,Blue,Paul,9♦,Assist
2024-12-17,12:41:41,Green,Behring,J♦,Assist
2024-12-17,12:45:18,Green,Kenji,10♣,Assist
2024-12-17,12:46:51,Blue,Daniel,A♠,Assist
2024-12-17,12:49:02,Green,Kenji,9♥,Assist
2024-12-17,12:53:58,Blue,Paul,J♥,Assist
2024-12-17,12:55:38,Green,Nishant,9♣,Assist
2024-12-16,12:21:50,Green,Jose,4♥,Assist
2024-12-16,12:24:31,Green,Howard,7♦,Assist
2024-12-16,12:30:12,Blue,Mel,2♣,Assist
2024-12-16,12:31:58,Green,Ghost,6♥,Assist
2024-12-16,12:32:42,Green,Jose,9♥,Assist
2024-12-16,12:35:36,Blue,Brian,5♥,Assist
2024-12-16,12:37:15,Blue,Mel,6♥,Assist
2024-12-16,12:40:10,Blue,Kenji,6♥,Assist
2024-12-16,12:43:31,Green,Larah,Q♠,Assist
2024-12-16,12:45:24,Green,Ghost,6♣,Assist
2024-12-16,12:50:09,Green,Behring,7♣,Assist
2024-12-16,12:55:59,Green,Howard,K♦,Assist
2024-12-16,13:06:15,Blue,Brian,A♠,Assist
2024-12-11,12:14:16,Blue,Daniel,K♥,Assist
2024-12-11,12:29:44,Blue,Paul,4♦,Assist
2024-12-11,12:36:20,Green,Maya,2♦,Assist
2024-12-11,12:39:03,Blue,Paul,J♥,Assist
2024-12-11,12:42:39,Green,Maya,10♥,Assist
2024-12-11,12:47:34,Blue,Behring,Q♣,Assist
2024-12-11,12:50:41,Blue,Daniel,J♥,Assist
2024-12-11,12:54:36,Blue,Daniel,K♦,Assist
2024-12-11,12:57:05,Green,Maya,A♦,Assist
2024-12-11,12:57:33,Green,Nishant,K♠,Assist
2024-12-10,12:14:26,Blue,Maya,5♣,Assist
2024-12-10,12:18:49,Blue,Maya,8♣,Assist
2024-12-10,12:22:04,Blue,Paul,2♦,Assist
2024-12-10,12:24:45,Green,Daniel,9♦,Assist
2024-12-10,12:25:46,Blue,Maya,K♥,Assist
2024-12-10,12:31:40,Green,Kenji,8♦,Assist
2024-12-10,12:32:27,Green,Brian,A♣,Assist
2024-12-10,12:39:01,Green,Daniel,2♣,Assist
2024-12-10,12:39:29,Blue,Paul,6♠,Assist
2024-12-10,12:39:56,Blue,Larah,10♣,Assist
2024-12-10,12:46:34,Green,Kenji,5♣,Assist
2024-12-10,12:48:53,Green,Kenji,7♦,Assist
2024-12-10,12:55:53,Green,Kenji,8♣,Assist
2024-12-10,12:56:30,Green,Daniel,7♥,Assist
2024-12-10,13:06:12,Green,Daniel,2♦,Assist
2024-12-10,13:06:58,Green,Kenji,4♠,Assist
2024-12-09,12:25:12,Blue,Russel,7♠,Assist
2024-12-09,12:35:01,Red,Paul,5♣,Assist
2024-12-09,12:50:06,Red,Paul,J♦,Assist
2024-12-09,12:58:33,Green,Daniel,A♣,Assist
2024-12-04,12:05:47,Green,Behring,3♣,Assist
2024-12-04,12:07:09,Green,Howard,4♣,Assist
2024-12-04,12:11:28,Green,Jose,9♦,Assist
2024-12-04,12:14:04,Green,Howard,K♣,Assist
2024-12-04,12:19:54,Blue,Andy,4♦,Assist
2024-12-04,12:21:10,Green,Jose,7♦,Assist
2024-12-04,12:21:48,Blue,Paul,J♥,Assist
2024-12-04,12:30:23,Blue,Paul,K♣,Assist
2024-12-04,12:31:36,Blue,Russel,8♣,Assist
2024-12-04,12:39:32,Green,Larah,J♠,Assist
2024-12-04,12:41:42,Green,Daniel,8♣,Assist
2024-12-04,12:51:18,Blue,Nishant,A♠,Assist
2024-12-04,12:51:53,Green,Behring,6♥,Assist
2024-12-04,12:52:31,Green,Howard,4♥,Assist
2024-12-04,12:57:04,Blue,Brian,K♦,Assist
2024-12-04,12:58:34,Green,Mel,5♦,Assist
2024-12-04,13:04:36,Blue,Poonam,4♣,Assist
2024-12-03,12:08:04,Blue,Daniel,3♥,Assist
2024-12-03,12:14:38,Green,Howard,Q♦,Assist
2024-12-03,12:16:53,Blue,Nishant,Q♣,Assist
2024-12-03,12:22:47,Blue,Behring,Q♠,Assist
2024-12-03,12:26:41,Blue,Daniel,2♠,Assist
2024-12-03,12:32:53,Blue,Behring,3♣,Assist
2024-12-03,12:44:12,Green,Larah,3♦,Assist
2024-12-03,12:45:18,Green,Larah,6♣,Assist
2024-12-03,12:54:25,Blue,Brian,6♦,Assist
2024-12-03,12:54:58,Blue,Nishant,J♦,Assist
2024-12-03,12:59:24,Blue,Behring,9♣,Assist
2024-12-03,13:01:10,Blue,Behring,3♥,Assist
2024-12-02,12:21:24,Green,Behring,3♦,Assist
2024-12-02,12:23:30,Blue,Maya,8♦,Assist
